submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
431858,mhjabreel,0.572 (1),0.550 (4),0.622 (1),0.600 (1),0.566 (5),0.519 (10),0.523 (4),0.511 (4),0.578 (3),0.570 (5),
401539,Prayas,0.571 (2),0.554 (1),0.605 (2),0.582 (2),0.621 (1),0.577 (1),0.500 (5),0.508 (5),0.557 (9),0.549 (9),
409761,vineet.john,0.566 (3),0.551 (3),0.576 (5),0.570 (4),0.558 (7),0.523 (7),0.567 (1),0.556 (1),0.561 (8),0.556 (7),
405745,EgorLakomkin,0.562 (4),0.543 (5),0.565 (7),0.545 (7),0.531 (14),0.494 (16),0.528 (3),0.531 (3),0.624 (1),0.601 (2),
436390,CZWin32768,0.561 (5),0.552 (2),0.592 (3),0.575 (3),0.599 (2),0.571 (2),0.475 (6),0.483 (7),0.578 (4),0.578 (3),
404636,sreeIN,0.559 (6),0.533 (6),0.588 (4),0.552 (6),0.569 (4),0.515 (11),0.458 (10),0.457 (9),0.623 (2),0.608 (1),
402860,venkatesh-1729,0.552 (7),0.531 (7),0.541 (12),0.519 (11),0.556 (8),0.513 (12),0.547 (2),0.538 (2),0.564 (7),0.552 (8),
403268,vlaand,0.531 (8),0.513 (9),0.567 (6),0.540 (8),0.566 (6),0.529 (6),0.426 (12),0.412 (15),0.564 (6),0.572 (4),
426891,Yunqi,0.521 (9),0.507 (10),0.559 (8),0.553 (5),0.502 (19),0.498 (15),0.467 (9),0.443 (10),0.556 (10),0.534 (11),
406304,hardik.meisheri,0.521 (10),0.518 (8),0.541 (11),0.535 (9),0.542 (12),0.520 (9),0.471 (8),0.488 (6),0.530 (12),0.529 (12),
401786,YZU-NLP,0.516 (11),0.500 (13),0.544 (10),0.528 (10),0.552 (10),0.520 (8),0.471 (7),0.460 (8),0.495 (17),0.493 (18),
400815,Emkay,0.514 (12),0.503 (11),0.519 (15),0.509 (15),0.552 (9),0.534 (4),0.415 (14),0.413 (14),0.570 (5),0.556 (6),
861517,navjots121,0.513 (13),0.502 (12),0.517 (17),0.508 (16),0.551 (11),0.532 (5),0.415 (14),0.413 (14),0.570 (5),0.556 (6),
401601,IITP,0.505 (14),0.491 (14),0.525 (14),0.512 (13),0.575 (3),0.549 (3),0.406 (16),0.404 (16),0.513 (15),0.500 (17),
401531,HPCC,0.500 (15),0.480 (16),0.530 (13),0.517 (12),0.540 (13),0.498 (14),0.406 (17),0.397 (17),0.526 (13),0.507 (14),
861560,Synapse,0.497 (16),0.479 (17),0.548 (9),0.511 (14),0.510 (15),0.484 (17),0.416 (13),0.416 (13),0.513 (16),0.504 (15),
425865,kamal_nayan,0.481 (17),0.487 (15),0.483 (20),0.465 (20),0.507 (17),0.502 (13),0.408 (15),0.440 (11),0.526 (14),0.539 (10),
404838,felipebravom,0.477 (18),0.442 (20),0.517 (16),0.470 (19),0.503 (18),0.462 (20),0.398 (18),0.373 (19),0.490 (18),0.466 (20),
421941,AK,0.467 (19),0.440 (21),0.512 (18),0.475 (18),0.472 (23),0.423 (23),0.351 (23),0.348 (22),0.536 (11),0.515 (13),
423472,zibakh,0.467 (19),0.440 (21),0.512 (18),0.475 (18),0.472 (23),0.423 (23),0.351 (23),0.348 (22),0.536 (11),0.515 (13),
426665,Charles.Chen,0.465 (20),0.447 (18),0.473 (21),0.454 (21),0.471 (24),0.450 (21),0.439 (11),0.420 (12),0.478 (20),0.467 (19),
401641,Brun,0.450 (21),0.443 (19),0.506 (19),0.500 (17),0.507 (16),0.476 (18),0.357 (22),0.365 (20),0.430 (22),0.431 (22),
401311,dbusca,0.446 (22),0.438 (22),0.435 (23),0.439 (22),0.496 (20),0.463 (19),0.366 (20),0.347 (23),0.489 (19),0.503 (16),
400383,kakachaguan,0.432 (23),0.405 (23),0.456 (22),0.419 (23),0.483 (22),0.419 (24),0.329 (25),0.329 (24),0.462 (21),0.454 (21),
401091,epochx,0.387 (24),0.366 (24),0.350 (26),0.325 (26),0.484 (21),0.445 (22),0.362 (21),0.362 (21),0.351 (26),0.332 (26),
401103,hkh,0.373 (25),0.363 (25),0.386 (24),0.380 (24),0.390 (26),0.380 (26),0.330 (24),0.320 (25),0.387 (25),0.371 (25),
400503,gnem,0.347 (26),0.331 (26),0.275 (28),0.261 (28),0.441 (25),0.417 (25),0.242 (26),0.222 (26),0.428 (23),0.424 (23),
401266,heukirne,0.313 (27),0.284 (27),0.361 (25),0.326 (25),0.315 (28),0.278 (29),0.155 (27),0.150 (27),0.424 (24),0.382 (24),
444661,ychsing,0.266 (28),0.246 (29),0.271 (29),0.238 (29),0.328 (27),0.288 (28),0.132 (29),0.136 (29),0.333 (28),0.322 (28),
406079,amouma,0.264 (29),0.261 (28),0.276 (27),0.285 (27),0.293 (29),0.290 (27),0.143 (28),0.144 (28),0.343 (27),0.326 (27),
401442,ghpaetzold,0.220 (30),0.218 (30),0.188 (31),0.178 (30),0.095 (30),0.081 (30),0.396 (19),0.377 (18),0.202 (30),0.237 (30),
401294,vinayakumarr88,0.140 (31),0.134 (31),0.190 (30),0.164 (31),0.077 (31),0.061 (31),0.057 (30),0.071 (30),0.235 (29),0.238 (29),
423243,ellfae,0.001 (32),-0.012 (32),0.019 (32),-0.016 (32),-0.029 (32),-0.043 (32),0.051 (31),0.057 (31),-0.039 (31),-0.047 (31),
